id,userId,type,description,amount,createdAt
cmoilcgf4389gqo0faj686kmm,cmoilcgeq389cqo0f7wk908dj,BONUS,Hoşgeldin bonusu (tek seferlik),10,2026-04-28 12:17:10.432
cmoileisj389iqo0fzksvr3s6,cmoilcgeq389cqo0f7wk908dj,USAGE,Desen üretimi,-1000,2026-04-28 12:18:46.818
cmoilewhp389kqo0fqox448sv,cmoilcgeq389cqo0f7wk908dj,USAGE,Desen üretimi,100,2026-04-28 12:19:04.57
cmoilft7c389mqo0fdd4uz59o,cmoilcgeq389cqo0f7wk908dj,USAGE,Desen üretimi,5000,2026-04-28 12:19:46.965
cmoilftyn389oqo0fdv532zgy,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:19:47.949
cmoilghf7389qqo0fr4ne1bdp,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:20:18.354
cmoilj32r389sqo0fcuz4a47e,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:22:19.729
cmoiljqk2389uqo0f143ebe8b,cmoilcgeq389cqo0f7wk908dj,USAGE,Desen üretimi,-1,2026-04-28 12:22:50.156
cmoiljqxb389wqo0fkk4myexn,cmoilcgeq389cqo0f7wk908dj,USAGE,Desen üretimi,0,2026-04-28 12:22:50.636
cmoiljrlg389yqo0fekq49b2d,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:22:51.507
cmoiljrm338a0qo0fmjswvq6b,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:22:51.529
cmoilpyd238a2qo0fckfjj11i,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:27:40.213
cmoilsjjn38a4qo0fzn6rch36,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:29:40.975
cmoilugod38a6qo0fyxc72n07,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:31:10.572
cmoilv0i938a8qo0fqorkfstl,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:31:36.272
cmoilv0ih38aaqo0fum4q4htj,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:31:36.28
cmoilv0io38acqo0fuur7baw7,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:31:36.287
cmoilv0jm38aeqo0fvmrfudgg,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:31:36.321
cmoilv0jq38agqo0fwdv5j3ks,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:31:36.325
cmoilvpi338aiqo0fq5sh71i8,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:32:08.666
cmoilvpil38akqo0f4mxbe9b9,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:32:08.683
cmoilwd1i38amqo0fvg7y4zjk,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: PDF,-1,2026-04-28 12:32:39.174
cmoilwfe138aoqo0fnf0w3d3k,cmoilcgeq389cqo0f7wk908dj,USAGE,"Export: PDF, TIFF, PSD",-5,2026-04-28 12:32:42.218
cmoilxaji38aqqo0f6w01t9nl,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:33:22.588
cmoilycho38asqo0fyux0x1gt,cmoilcgeq389cqo0f7wk908dj,USAGE,Desen üretimi,10000,2026-04-28 12:34:11.771
cmoim259r38awqo0frqqck77u,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:37:09.037
cmoim25a638ayqo0fy6dgdbux,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:37:09.051
cmoimh3kk38bfqo0fcwlumvlv,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:48:46.675
cmoimhg2f38bhqo0fkue6n6vk,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:02.868
cmoimhgme38bjqo0fxzr1pddc,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:49:03.588
cmoimhn4938blqo0f0spi395k,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:12.003
cmoimhtb838bnqo0f1l77kstc,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:20.023
cmoimhtu738bpqo0fi92rn2lg,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:49:20.717
cmoimhu7l38brqo0ftg4659ol,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:21.199
cmoimhucl38btqo0f4egtxy4z,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:49:21.377
cmoimhusc38bvqo0fdr54zhmu,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:21.947
cmoimhv9k38bxqo0fkd4qy6n3,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:22.562
cmoimhvec38bzqo0ftjenwku6,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:49:22.737
cmoimie5o38c1qo0fauon10do,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:47.047
cmoimjsp038c3qo0fz5ocloug,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:50:52.545
cmoimjt9138c5qo0fvrv2q3by,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:50:53.267
cmoimk9e938c7qo0fdmbomgse,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:51:14.188
cmoimkac838c9qo0fr39zpl7g,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:51:15.412
cmoimkasl38cbqo0fnio0s2yd,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:51:16
cmoimkbdb38cdqo0f126nmspb,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:51:16.749
cmoiml9iw38cfqo0f3use4xnl,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:52:01.015
cmoimlrfp38chqo0fuvw2ckgg,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:52:24.229
cmoimmbs138cjqo0feftcttt1,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:52:50.589
cmoimmhlm38clqo0f2zlhyrag,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:52:58.137
cmoimn54s38cnqo0fj42wuso3,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:53:28.635
cmoimpct438cpqo0f8uiz27x4,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:55:11.895
cmoimq3s438crqo0fo2fte8ep,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:55:46.851
cmoimq4br38ctqo0fhpcx96ph,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:55:47.556
cmoimqo9a38cvqo0f1pvvnmoi,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:13.388
cmoimqost38cxqo0fhm5dsh24,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:14.091
